variable,permutation,dropout_loss,label
x,37,118.45981930913979,LightGBM
y,37,2234.690541280302,LightGBM
z,37,587.4299686123478,LightGBM
_baseline_,37,5168.291612107209,LightGBM
_full_model_,38,-11.644100957232013,LightGBM
carat,38,2244.670756335102,LightGBM
cut,38,10.657302444908396,LightGBM
color,38,739.2529847547131,LightGBM
clarity,38,1081.4014250383875,LightGBM
depth,38,-4.4230066618057435,LightGBM
table,38,-4.250223350231977,LightGBM
x,38,125.16881712056147,LightGBM
y,38,2160.021767750817,LightGBM
z,38,507.4948947589172,LightGBM
_baseline_,38,4830.509147545306,LightGBM
_full_model_,39,26.52047654335547,LightGBM
carat,39,2283.588747534953,LightGBM
cut,39,58.420253851358325,LightGBM
color,39,736.7551646401884,LightGBM
clarity,39,1070.4931000955871,LightGBM
depth,39,33.555716339388596,LightGBM
table,39,19.856895944113717,LightGBM
x,39,170.0215972364615,LightGBM
y,39,2249.8079117888637,LightGBM
z,39,554.9027403239719,LightGBM
_baseline_,39,4963.66099077851,LightGBM
_full_model_,40,-11.942868130656962,LightGBM
carat,40,2291.274229219904,LightGBM
cut,40,19.269163077534927,LightGBM
color,40,692.1955207972411,LightGBM
clarity,40,1140.0222512370283,LightGBM
depth,40,-3.3533014317443985,LightGBM
table,40,-11.756071995422872,LightGBM
x,40,113.55413500952193,LightGBM
y,40,2286.6576287768053,LightGBM
z,40,570.6779273401984,LightGBM
_baseline_,40,5241.4699517740355,LightGBM
_full_model_,41,-40.52467859282581,LightGBM
carat,41,2154.8844881417353,LightGBM
cut,41,-12.641007986670957,LightGBM
color,41,719.9674962057642,LightGBM
clarity,41,1204.979175361876,LightGBM
depth,41,-4.511780334285845,LightGBM
table,41,-42.83661610119623,LightGBM
x,41,90.42485610957874,LightGBM
y,41,2091.8799995469767,LightGBM
z,41,476.59176843769444,LightGBM
_baseline_,41,4719.799717956762,LightGBM
_full_model_,42,27.273657926500164,LightGBM
carat,42,2385.2109258777173,LightGBM
cut,42,33.135438673163776,LightGBM
color,42,654.262174986886,LightGBM
clarity,42,1134.6937981498404,LightGBM
depth,42,33.02468728250312,LightGBM
table,42,26.58813671967664,LightGBM
x,42,173.43675343324492,LightGBM
y,42,2392.8791873583436,LightGBM
z,42,591.9117279488202,LightGBM
_baseline_,42,5180.867860105243,LightGBM
_full_model_,43,12.786135816498813,LightGBM
carat,43,2267.134677788036,LightGBM
cut,43,29.498107085298557,LightGBM
